Grapheme	IPA
jí_	tɕ i ³⁵ +
jǐ_	tɕ i ²¹⁴ +
jì_	tɕ i ⁵¹ +
jīn_	tɕ i n ⁵⁵ +
jín_	tɕ i n ³⁵ +
jǐn_	tɕ i n ²¹⁴ +
jìn_	tɕ i n ⁵¹ +
jīng_	tɕ i ŋ ⁵⁵ +
jíng_	tɕ i ŋ ³⁵ +
jǐng_	tɕ i ŋ ²¹⁴ +
jìng_	tɕ i ŋ ⁵¹ +
jīnɡ_	tɕ i ŋ ⁵⁵ +
jínɡ_	tɕ i ŋ ³⁵ +
jǐnɡ_	tɕ i ŋ ²¹⁴ +
jìnɡ_	tɕ i ŋ ⁵¹ +
juē_	tɕ ɥ ə ⁵⁵ +
jué_	tɕ ɥ ə ³⁵ +
juě_	tɕ ɥ ə ²¹⁴ +
juè_	tɕ ɥ ə ⁵¹ +
jū_	tɕ y ⁵⁵ +
jú_	tɕ y ³⁵ +
jǔ_	tɕ y ²¹⁴ +
jù_	tɕ y ⁵¹ +
jūn_	tɕ y n ⁵⁵ +
jún_	tɕ y n ³⁵ +
jǔn_	tɕ y n ²¹⁴ +
jùn_	tɕ y n ⁵¹ +
kāi_	kʰ ai ⁵⁵ +
kái_	kʰ ai ³⁵ +
kǎi_	kʰ ai ²¹⁴ +
kài_	kʰ ai ⁵¹ +
kān_	kʰ a n ⁵⁵ +
kán_	kʰ a n ³⁵ +
kǎn_	kʰ a n ²¹⁴ +
kàn_	kʰ a n ⁵¹ +
kāng_	kʰ a ŋ ⁵⁵ +
káng_	kʰ a ŋ ³⁵ +
kǎng_	kʰ a ŋ ²¹⁴ +
kàng_	kʰ a ŋ ⁵¹ +
kāo_	kʰ au ⁵⁵ +
káo_	kʰ au ³⁵ +
kǎo_	kʰ au ²¹⁴ +
kào_	kʰ au ⁵¹ +
kē_	kʰ ə ⁵⁵ +
ké_	kʰ ə ³⁵ +
kě_	kʰ ə ²¹⁴ +
kè_	kʰ ə ⁵¹ +
kōng_	kʰ ʊ ŋ ⁵⁵ +
kóng_	kʰ ʊ ŋ ³⁵ +
kǒng_	kʰ ʊ ŋ ²¹⁴ +
kòng_	kʰ ʊ ŋ ⁵¹ +
kōu_	kʰ ɔu ⁵⁵ +
kóu_	kʰ ɔu ³⁵ +
kǒu_	kʰ ɔu ²¹⁴ +
kòu_	kʰ ɔu ⁵¹ +
kuā_	kʰ w a ⁵⁵ +
kuá_	kʰ w a ³⁵ +
kuǎ_	kʰ w a ²¹⁴ +
kuà_	kʰ w a ⁵¹ +
kuāi_	kʰ w ai ⁵⁵ +
kuái_	kʰ w ai ³⁵ +
kuǎi_	kʰ w ai ²¹⁴ +
kuài_	kʰ w ai ⁵¹ +
kuān_	kʰ w a n ⁵⁵ +
kuán_	kʰ w a n ³⁵ +
kuǎn_	kʰ w a n ²¹⁴ +
kuàn_	kʰ w a n ⁵¹ +
kuāng_	kʰ w a ŋ ⁵⁵ +
kuáng_	kʰ w a ŋ ³⁵ +
kuǎng_	kʰ w a ŋ ²¹⁴ +
kuàng_	kʰ w a ŋ ⁵¹ +
kuī_	kʰ w əi ⁵⁵ +
kuí_	kʰ w əi ³⁵ +
kuǐ_	kʰ w əi ²¹⁴ +
kuì_	kʰ w əi ⁵¹ +
kū_	kʰ u ⁵⁵ +
kú_	kʰ u ³⁵ +
kǔ_	kʰ u ²¹⁴ +
kù_	kʰ u ⁵¹ +
kūn_	kʰ ʊ n ⁵⁵ +
kún_	kʰ ʊ n ³⁵ +
kǔn_	kʰ ʊ n ²¹⁴ +
kùn_	kʰ ʊ n ⁵¹ +
lā_	l a ⁵⁵ +
lá_	l a ³⁵ +
lǎ_	l a ²¹⁴ +
là_	l a ⁵¹ +
lāi_	l ai ⁵⁵ +
lái_	l ai ³⁵ +
lǎi_	l ai ²¹⁴ +
lài_	l ai ⁵¹ +
lān_	l a n ⁵⁵ +
lán_	l a n ³⁵ +
lǎn_	l a n ²¹⁴ +
làn_	l a n ⁵¹ +
lāng_	l a ŋ ⁵⁵ +
láng_	l a ŋ ³⁵ +
lǎng_	l a ŋ ²¹⁴ +
làng_	l a ŋ ⁵¹ +
lāo_	l au ⁵⁵ +
láo_	l au ³⁵ +
lǎo_	l au ²¹⁴ +
lào_	l au ⁵¹ +
lē_	l ə ⁵⁵ +
lé_	l ə ³⁵ +
lě_	l ə ²¹⁴ +
lè_	l ə ⁵¹ +
lēi_	l əi ⁵⁵ +
léi_	l əi ³⁵ +
lěi_	l əi ²¹⁴ +
lèi_	l əi ⁵¹ +
lēng_	l ə ŋ ⁵⁵ +
léng_	l ə ŋ ³⁵ +
lěng_	l ə ŋ ²¹⁴ +
lèng_	l ə ŋ ⁵¹ +
li_	l i ⁰ +
liān_	l j ɛ n ⁵⁵ +
lián_	l j ɛ n ³⁵ +
liǎn_	l j ɛ n ²¹⁴ +
liàn_	l j ɛ n ⁵¹ +
liāng_	l j a ŋ ⁵⁵ +
liáng_	l j a ŋ ³⁵ +
liǎng_	l j a ŋ ²¹⁴ +
liàng_	l j a ŋ ⁵¹ +
liāo_	l j au ⁵⁵ +
liáo_	l j au ³⁵ +
liǎo_	l j au ²¹⁴ +
liào_	l j au ⁵¹ +
liē_	l j ə ⁵⁵ +
lié_	l j ə ³⁵ +
liě_	l j ə ²¹⁴ +
liè_	l j ə ⁵¹ +
liū_	l j ɔu ⁵⁵ +
